Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,12587,7,260,559.480127291332,5.525495000256342,21273.06279700042,11809.481608008262,7.426799741846856,0.004130261237223166,260,780,1000,1100,1400,1600,1900,2100,6300,12000,21000
GET,/api/cart,37538,24,290,574.8115129721357,2.94546499981152,30009.492178000073,24.05501092226544,22.14882090326903,0.014160895670479427,290,790,1000,1100,1400,1600,1900,2100,7800,17000,30000
POST,/api/cart,73726,18,200,664.9482406717585,2.722474999700353,24465.65206300056,118.6907739467759,43.50109142507359,0.01062067175285957,200,940,1300,1400,1800,2100,2300,2500,3500,9600,24000
POST,/api/checkout,24544,7,610,988.857512011324,29.849256000034075,20663.436249999904,1658.5712190352021,14.481875972343627,0.004130261237223166,610,1200,1600,1800,2500,2900,3300,3600,4400,12000,21000
GET,/api/data/,5304,9,560,802.1459880641029,5.441948999759916,15591.478632999497,202.35501508295627,3.1295579431759535,0.005310335876429785,560,1100,1300,1500,1900,2200,2700,3000,8300,16000,16000
GET,/api/data/?contextKeys=accessories,5384,3,620,830.8136413779772,5.88879699989775,17697.48974200047,302.8974739970282,3.1767609287442182,0.0017701119588099284,620,1100,1400,1600,2000,2300,2800,3100,8400,18000,18000
GET,/api/data/?contextKeys=assembly,5271,8,610,820.7235649802707,2.2299139995993755,16886.873620000188,89.02276607854297,3.110086711629044,0.004720298556826476,610,1100,1400,1500,2000,2300,2800,3100,6800,17000,17000
GET,/api/data/?contextKeys=binoculars,5338,12,610,828.9086780768054,5.622070000299573,32052.61971499931,83.02716373173473,3.1496192120424658,0.0070804478352397135,610,1100,1300,1500,1900,2300,2800,3200,8700,32000,32000
GET,/api/data/?contextKeys=books,5247,10,570,833.8697147154656,5.95824799984257,32025.142688000415,202.09777015437393,3.0959258159585645,0.005900373196033095,570,1100,1400,1500,1900,2300,2800,3000,13000,32000,32000
GET,/api/data/?contextKeys=telescopes,5452,6,580,819.8091312844922,5.9459939998305344,30356.328192000547,105.98807776962583,3.216883466477243,0.0035402239176198567,580,1100,1400,1500,1900,2300,2700,3100,9500,30000,30000
GET,/api/data/?contextKeys=travel,5411,6,560,803.8180678288677,5.667036999966513,12048.862099999496,128.97560524856775,3.1926919363735076,0.0035402239176198567,560,1100,1400,1500,1900,2300,2700,3000,8300,12000,12000
GET,/api/product-reviews/0PUK6V6EV0,2455,2,500,836.7197059670135,25.116671999967366,27826.874950000274,1037.2317718940938,1.4485416196261247,0.001180074639206619,500,1200,1500,1600,2000,2300,2600,2900,6100,28000,28000
GET,/api/product-reviews/1YMWWN1N4O,2464,2,520,826.2799035263777,24.137380000411213,13214.27616299934,1072.2646103896104,1.4538519555025544,0.001180074639206619,520,1100,1400,1600,2000,2300,2700,2900,4100,13000,13000
GET,/api/product-reviews/2ZYFJ3GM2N,2441,1,560,846.3000463576449,24.816404999910446,12894.089521999376,1048.6091765669808,1.4402810971516784,0.0005900373196033095,560,1200,1500,1600,2000,2300,2600,2900,4400,13000,13000
GET,/api/product-reviews/66VCHSJNUP,2470,1,480,825.9929543352248,24.903537000227516,16113.31647499992,1042.6161943319837,1.4573921794201743,0.0005900373196033095,480,1100,1500,1600,2000,2300,2600,2700,6400,16000,16000
GET,/api/product-reviews/6E92ZMYYFZ,2459,1,570,849.7579125481805,25.07406099994114,12657.098776999192,1075.6010573403823,1.4509017689045378,0.0005900373196033095,570,1200,1500,1600,2000,2300,2700,2800,8400,13000,13000
GET,/api/product-reviews/9SIQT8TOJO,2543,0,470,800.6947306724356,24.937855000189302,6537.381467999694,1060.0,1.5004649037512159,0.0,470,1100,1400,1600,2000,2300,2600,2700,6000,6500,6500
