NAME                                             READY   STATUS      RESTARTS      AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-5967d8f6d8-bj4m6                      1/1     Running     0             66m     10.0.36.128   ip-10-0-46-180.ec2.internal   <none>           <none>
ad-7d4b98f5c5-hpf9w                              1/1     Running     0             61m     10.0.28.181   ip-10-0-29-106.ec2.internal   <none>           <none>
ad-7d4b98f5c5-xmkmz                              1/1     Running     0             66m     10.0.36.136   ip-10-0-46-180.ec2.internal   <none>           <none>
cart-76cd574ff6-72l7j                            0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
cart-76cd574ff6-77x4g                            0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
cart-76cd574ff6-8q67k                            0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
cart-76cd574ff6-ft448                            1/1     Running     0             66m     10.0.28.190   ip-10-0-29-106.ec2.internal   <none>           <none>
cart-76cd574ff6-ndrjh                            0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
cart-76cd574ff6-t9v2h                            1/1     Running     0             66m     10.0.43.65    ip-10-0-46-180.ec2.internal   <none>           <none>
cart-76cd574ff6-vrdcb                            0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
cart-76cd574ff6-xzj6p                            0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
checkout-559f997777-4656c                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
checkout-559f997777-48jl5                        1/1     Running     0             66m     10.0.36.137   ip-10-0-46-180.ec2.internal   <none>           <none>
checkout-559f997777-942j8                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
checkout-559f997777-ddj2t                        1/1     Running     0             61m     10.0.28.182   ip-10-0-29-106.ec2.internal   <none>           <none>
checkout-559f997777-ddtz7                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
checkout-559f997777-dghws                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
checkout-559f997777-gq5cm                        0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
checkout-559f997777-jnzsg                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
checkout-559f997777-tc6qq                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
checkout-559f997777-whgf5                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
checkout-559f997777-ww7wx                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
checkout-559f997777-wzdf6                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
currency-85ddf66c85-2rzbb                        1/1     Running     0             66m     10.0.36.140   ip-10-0-46-180.ec2.internal   <none>           <none>
currency-85ddf66c85-5d4cv                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
currency-85ddf66c85-9wflj                        1/1     Running     0             66m     10.0.29.112   ip-10-0-29-106.ec2.internal   <none>           <none>
currency-85ddf66c85-ghvf9                        0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
email-5f9c554998-srmpc                           1/1     Running     0             66m     10.0.36.135   ip-10-0-46-180.ec2.internal   <none>           <none>
email-5f9c554998-zffc7                           1/1     Running     0             66m     10.0.29.115   ip-10-0-29-106.ec2.internal   <none>           <none>
flagd-779dffbfcb-4db6x                           2/2     Running     0             66m     10.0.46.108   ip-10-0-36-4.ec2.internal     <none>           <none>
fraud-detection-6cff5446bd-7k9zc                 1/1     Running     0             66m     10.0.28.183   ip-10-0-29-106.ec2.internal   <none>           <none>
frontend-77ff64cbf5-2vhk4                        1/1     Running     0             61m     10.0.40.81    ip-10-0-46-180.ec2.internal   <none>           <none>
frontend-77ff64cbf5-424dr                        1/1     Running     0             65m     10.0.29.116   ip-10-0-29-106.ec2.internal   <none>           <none>
frontend-77ff64cbf5-cnp9f                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-d5mvb                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-d7xwl                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-dvp8s                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-f7pdg                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-gsssk                        0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-gx2tn                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-j6gsd                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-k8mdk                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-klgb9                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-mkr5k                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-nc4wl                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-rv4rk                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-xz7nf                        0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
frontend-77ff64cbf5-z4mfv                        0/1     Pending     0             33m     <none>        <none>                        <none>           <none>
frontend-proxy-7487bcdf69-gxjwk                  1/1     Running     0             66m     10.0.26.128   ip-10-0-27-114.ec2.internal   <none>           <none>
frontend-proxy-7487bcdf69-hj59m                  1/1     Running     0             33m     10.0.46.102   ip-10-0-36-4.ec2.internal     <none>           <none>
