NAME                                           READY   STATUS             RESTARTS        AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-6bdd6df946-qpn55                    1/1     Running            0               4m27s   10.0.22.178   ip-10-0-28-67.ec2.internal    <none>           <none>
ad-7f9db7f79d-5ktlh                            1/1     Running            0               5m23s   10.0.39.39    ip-10-0-35-229.ec2.internal   <none>           <none>
ad-7f9db7f79d-xk6sr                            1/1     Running            0               9m41s   10.0.44.144   ip-10-0-39-216.ec2.internal   <none>           <none>
cart-85cffb8fc8-69xwr                          1/1     Running            0               4m8s    10.0.22.183   ip-10-0-28-67.ec2.internal    <none>           <none>
cart-85cffb8fc8-dnq4z                          1/1     Running            0               2m37s   10.0.30.164   ip-10-0-31-81.ec2.internal    <none>           <none>
cart-85cffb8fc8-jkw9v                          1/1     Running            0               7h52m   10.0.40.7     ip-10-0-44-254.ec2.internal   <none>           <none>
cart-85cffb8fc8-pg7nk                          1/1     Running            0               5m23s   10.0.40.19    ip-10-0-39-216.ec2.internal   <none>           <none>
checkout-84bbccf697-j6vwt                      1/1     Running            0               12h     10.0.40.3     ip-10-0-44-254.ec2.internal   <none>           <none>
checkout-84bbccf697-swktd                      1/1     Running            0               5m22s   10.0.44.145   ip-10-0-39-216.ec2.internal   <none>           <none>
currency-6bc77dcc5b-5gwwk                      1/1     Running            0               6h5m    10.0.40.5     ip-10-0-44-254.ec2.internal   <none>           <none>
currency-6bc77dcc5b-669mj                      1/1     Running            0               5m22s   10.0.40.29    ip-10-0-39-216.ec2.internal   <none>           <none>
egress-proxy-6458bcd749-hll7b                  1/1     Running            0               8h      10.0.35.220   ip-10-0-43-187.ec2.internal   <none>           <none>
egress-proxy-6458bcd749-k6zh4                  1/1     Running            0               8h      10.0.27.136   ip-10-0-16-62.ec2.internal    <none>           <none>
email-6bd985959f-hlhht                         1/1     Running            0               6h5m    10.0.40.11    ip-10-0-44-254.ec2.internal   <none>           <none>
email-6bd985959f-pczpk                         1/1     Running            0               5m21s   10.0.44.149   ip-10-0-39-216.ec2.internal   <none>           <none>
flagd-69d457954f-qwfr2                         2/2     Running            0               17h     10.0.46.16    ip-10-0-47-201.ec2.internal   <none>           <none>
fraud-detection-7d8d84b7d5-9tmg6               1/1     Running            0               3m54s   10.0.22.182   ip-10-0-28-67.ec2.internal    <none>           <none>
frontend-55cbdf9969-2pbg9                      1/1     Running            0               5m21s   10.0.30.160   ip-10-0-31-81.ec2.internal    <none>           <none>
frontend-55cbdf9969-87m98                      1/1     Running            0               15h     10.0.40.9     ip-10-0-44-254.ec2.internal   <none>           <none>
frontend-55cbdf9969-9cfdh                      1/1     Running            0               4m10s   10.0.22.180   ip-10-0-28-67.ec2.internal    <none>           <none>
frontend-55cbdf9969-bwvpn                      1/1     Running            0               5m21s   10.0.26.18    ip-10-0-17-136.ec2.internal   <none>           <none>
frontend-55cbdf9969-ffqgk                      1/1     Running            0               160m    10.0.39.37    ip-10-0-35-229.ec2.internal   <none>           <none>
frontend-55cbdf9969-s66zt                      1/1     Running            0               2m30s   10.0.25.177   ip-10-0-19-182.ec2.internal   <none>           <none>
frontend-55cbdf9969-s8mlw                      1/1     Running            0               32m     10.0.40.16    ip-10-0-39-216.ec2.internal   <none>           <none>
frontend-proxy-56f8bdbdb5-b6bnd                1/1     Running            0               7h20m   10.0.35.223   ip-10-0-43-187.ec2.internal   <none>           <none>
frontend-proxy-56f8bdbdb5-mxm48                1/1     Running            0               7h22m   10.0.46.17    ip-10-0-47-201.ec2.internal   <none>           <none>
grafana-559bbcbc69-scn99                       2/2     Running            0               7h36m   10.0.46.18    ip-10-0-47-201.ec2.internal   <none>           <none>
image-provider-669d5985bd-2dr6g                1/1     Running            0               5m20s   10.0.44.146   ip-10-0-39-216.ec2.internal   <none>           <none>
image-provider-669d5985bd-mxf49                1/1     Running            0               6h5m    10.0.40.6     ip-10-0-44-254.ec2.internal   <none>           <none>
jaeger-6c9c7c97f8-zhqvr                        1/1     Running            0               24h     10.0.43.161   ip-10-0-43-187.ec2.internal   <none>           <none>
llm-58fc944959-bx745                           0/1     ImagePullBackOff   0               3m54s   10.0.22.181   ip-10-0-28-67.ec2.internal    <none>           <none>
load-generator-d8d4894df-cgmtb                 1/1     Running            0               18h     10.0.46.21    ip-10-0-47-201.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-629nj         1/1     Running            0               15h     10.0.23.192   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-89d5w         1/1     Running            1 (7h17m ago)   15h     10.0.23.137   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-fhrp8         1/1     Running            0               15h     10.0.23.133   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-fzsrm         1/1     Running            0               15h     10.0.23.136   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-jr5vn         1/1     Running            0               15h     10.0.23.134   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-lxnkq         1/1     Running            0               15h     10.0.23.193   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-mx82c         1/1     Running            0               15h     10.0.23.132   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-w4sfl         1/1     Running            0               15h     10.0.23.135   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-wg95w         1/1     Running            0               15h     10.0.23.131   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-wmpv2         1/1     Running            0               15h     10.0.23.130   ip-10-0-31-205.ec2.internal   <none>           <none>
metrics-server-55d7678dd8-48t5g                1/1     Running            2 (7h10m ago)   24h     10.0.23.229   ip-10-0-16-62.ec2.internal    <none>           <none>
opensearch-0                                   1/1     Running            0               7h51m   10.0.46.24    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-85kjw                     1/1     Running            0               4m49s   10.0.30.163   ip-10-0-31-81.ec2.internal    <none>           <none>
otel-collector-agent-8znqf                     1/1     Running            0               7h34m   10.0.46.23    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-9fbw4                     1/1     Running            0               7h34m   10.0.27.133   ip-10-0-16-62.ec2.internal    <none>           <none>
otel-collector-agent-g4l9r                     1/1     Running            0               167m    10.0.39.35    ip-10-0-35-229.ec2.internal   <none>           <none>
otel-collector-agent-hs54q                     1/1     Running            0               7h35m   10.0.45.192   ip-10-0-43-187.ec2.internal   <none>           <none>
otel-collector-agent-m2b5r                     1/1     Running            0               7h33m   10.0.23.138   ip-10-0-31-205.ec2.internal   <none>           <none>
otel-collector-agent-pr7cs                     1/1     Running            0               7h33m   10.0.40.4     ip-10-0-44-254.ec2.internal   <none>           <none>
otel-collector-agent-q9ndr                     1/1     Running            0               32m     10.0.40.17    ip-10-0-39-216.ec2.internal   <none>           <none>
otel-collector-agent-rhlm5                     1/1     Running            0               4m41s   10.0.22.179   ip-10-0-28-67.ec2.internal    <none>           <none>
otel-collector-agent-sttcv                     1/1     Running            0               4m49s   10.0.26.19    ip-10-0-17-136.ec2.internal   <none>           <none>
otel-collector-agent-v729w                     1/1     Running            0               119s    10.0.25.178   ip-10-0-19-182.ec2.internal   <none>           <none>
payment-5c6f485cf6-grd5p                       1/1     Running            0               5m20s   10.0.44.147   ip-10-0-39-216.ec2.internal   <none>           <none>
payment-5c6f485cf6-zcn4v                       1/1     Running            0               160m    10.0.39.32    ip-10-0-35-229.ec2.internal   <none>           <none>
product-catalog-5d9b8d75c8-6w6bj               1/1     Running            0               15h     10.0.40.8     ip-10-0-44-254.ec2.internal   <none>           <none>
product-catalog-5d9b8d75c8-kgphq               1/1     Running            0               5m20s   10.0.40.31    ip-10-0-39-216.ec2.internal   <none>           <none>
product-reviews-9b9c94c7-27f4b                 1/1     Running            0               5m19s   10.0.26.16    ip-10-0-17-136.ec2.internal   <none>           <none>
product-reviews-9b9c94c7-4fvpc                 1/1     Running            0               5m19s   10.0.30.161   ip-10-0-31-81.ec2.internal    <none>           <none>
product-reviews-9b9c94c7-s5cqj                 1/1     Running            0               15h     10.0.40.0     ip-10-0-44-254.ec2.internal   <none>           <none>
prometheus-5db66644d7-hn92b                    1/1     Running            9 (5h26m ago)   23h     10.0.19.240   ip-10-0-16-62.ec2.internal    <none>           <none>
prometheus-adapter-6bb85cd969-nc8vz            1/1     Running            0               22h     10.0.27.135   ip-10-0-16-62.ec2.internal    <none>           <none>
quote-7d88645589-rzvxn                         1/1     Running            0               156m    10.0.39.38    ip-10-0-35-229.ec2.internal   <none>           <none>
quote-7d88645589-vqfz2                         1/1     Running            0               5m19s   10.0.40.30    ip-10-0-39-216.ec2.internal   <none>           <none>
recommendation-6d555fd868-5l8xx                1/1     Running            0               6h5m    10.0.40.10    ip-10-0-44-254.ec2.internal   <none>           <none>
recommendation-6d555fd868-gjdsb                1/1     Running            0               5m18s   10.0.26.17    ip-10-0-17-136.ec2.internal   <none>           <none>
recommendation-6d555fd868-ldfdb                1/1     Running            0               3m20s   10.0.22.177   ip-10-0-28-67.ec2.internal    <none>           <none>
recommendation-6d555fd868-v2q6p                1/1     Running            0               5m19s   10.0.44.150   ip-10-0-39-216.ec2.internal   <none>           <none>
recommendation-6d555fd868-wxpmz                1/1     Running            0               168m    10.0.39.33    ip-10-0-35-229.ec2.internal   <none>           <none>
runtime-hardening-inventory-29745670-fpxnn     0/1     Error              0               16h     10.0.46.20    ip-10-0-47-201.ec2.internal   <none>           <none>
runtime-hardening-inventory-29745675-t5f6f     0/1     Error              0               16h     10.0.46.18    ip-10-0-47-201.ec2.internal   <none>           <none>
runtime-hardening-inventory-29746250-xl8h9     0/1     Error              0               7h16m   10.0.46.20    ip-10-0-47-201.ec2.internal   <none>           <none>
runtime-hardening-inventory-29746680-c87gq     0/1     Completed          0               6m25s   10.0.46.22    ip-10-0-47-201.ec2.internal   <none>           <none>
runtime-hardening-inventory-29746685-xhv7j     0/1     Completed          0               85s     10.0.46.22    ip-10-0-47-201.ec2.internal   <none>           <none>
shipping-5c69c59db5-nj5lk                      1/1     Running            0               5m18s   10.0.44.148   ip-10-0-39-216.ec2.internal   <none>           <none>
shipping-5c69c59db5-p7zrj                      1/1     Running            0               6h5m    10.0.40.1     ip-10-0-44-254.ec2.internal   <none>           <none>
shopping-copilot-8498468854-m98wm              1/1     Running            0               157m    10.0.39.36    ip-10-0-35-229.ec2.internal   <none>           <none>
techx-corp-kube-state-metrics-989589f7-2cjk5   1/1     Running            0               5h21m   10.0.46.20    ip-10-0-47-201.ec2.internal   <none>           <none>
