NAME                                           READY   STATUS      RESTARTS        AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-6bdd6df946-6wqb6                    1/1     Running     0               151m    10.0.17.36    ip-10-0-29-210.ec2.internal   <none>           <none>
ad-7f9db7f79d-vkfsr                            1/1     Running     0               3m58s   10.0.23.65    ip-10-0-26-70.ec2.internal    <none>           <none>
ad-7f9db7f79d-xk6sr                            1/1     Running     0               3m58s   10.0.44.144   ip-10-0-39-216.ec2.internal   <none>           <none>
cart-85cffb8fc8-jfn8x                          1/1     Running     0               5h23m   10.0.19.226   ip-10-0-26-70.ec2.internal    <none>           <none>
cart-85cffb8fc8-jkw9v                          1/1     Running     0               7h46m   10.0.40.7     ip-10-0-44-254.ec2.internal   <none>           <none>
checkout-84bbccf697-j6vwt                      1/1     Running     0               12h     10.0.40.3     ip-10-0-44-254.ec2.internal   <none>           <none>
checkout-84bbccf697-mxsdf                      1/1     Running     0               5h57m   10.0.19.233   ip-10-0-26-70.ec2.internal    <none>           <none>
currency-6bc77dcc5b-5gwwk                      1/1     Running     0               5h59m   10.0.40.5     ip-10-0-44-254.ec2.internal   <none>           <none>
currency-6bc77dcc5b-hth74                      1/1     Running     0               5h57m   10.0.19.231   ip-10-0-26-70.ec2.internal    <none>           <none>
egress-proxy-6458bcd749-hll7b                  1/1     Running     0               8h      10.0.35.220   ip-10-0-43-187.ec2.internal   <none>           <none>
egress-proxy-6458bcd749-k6zh4                  1/1     Running     0               8h      10.0.27.136   ip-10-0-16-62.ec2.internal    <none>           <none>
email-6bd985959f-hlhht                         1/1     Running     0               5h59m   10.0.40.11    ip-10-0-44-254.ec2.internal   <none>           <none>
email-6bd985959f-mjvvw                         1/1     Running     0               154m    10.0.19.237   ip-10-0-26-70.ec2.internal    <none>           <none>
flagd-69d457954f-qwfr2                         2/2     Running     0               17h     10.0.46.16    ip-10-0-47-201.ec2.internal   <none>           <none>
fraud-detection-7d8d84b7d5-4gjwj               1/1     Running     0               5h59m   10.0.19.229   ip-10-0-26-70.ec2.internal    <none>           <none>
frontend-55cbdf9969-87m98                      1/1     Running     0               15h     10.0.40.9     ip-10-0-44-254.ec2.internal   <none>           <none>
frontend-55cbdf9969-dxvql                      1/1     Running     0               28m     10.0.28.112   ip-10-0-17-84.ec2.internal    <none>           <none>
frontend-55cbdf9969-ffqgk                      1/1     Running     0               154m    10.0.39.37    ip-10-0-35-229.ec2.internal   <none>           <none>
frontend-55cbdf9969-s8mlw                      1/1     Running     0               27m     10.0.40.16    ip-10-0-39-216.ec2.internal   <none>           <none>
frontend-55cbdf9969-sbtsx                      1/1     Running     0               5h59m   10.0.19.228   ip-10-0-26-70.ec2.internal    <none>           <none>
frontend-55cbdf9969-xq84s                      1/1     Running     0               28m     10.0.17.38    ip-10-0-29-210.ec2.internal   <none>           <none>
frontend-proxy-56f8bdbdb5-b6bnd                1/1     Running     0               7h14m   10.0.35.223   ip-10-0-43-187.ec2.internal   <none>           <none>
frontend-proxy-56f8bdbdb5-mxm48                1/1     Running     0               7h16m   10.0.46.17    ip-10-0-47-201.ec2.internal   <none>           <none>
grafana-559bbcbc69-scn99                       2/2     Running     0               7h30m   10.0.46.18    ip-10-0-47-201.ec2.internal   <none>           <none>
image-provider-669d5985bd-mxf49                1/1     Running     0               5h59m   10.0.40.6     ip-10-0-44-254.ec2.internal   <none>           <none>
image-provider-669d5985bd-nbgqg                1/1     Running     0               5h57m   10.0.19.232   ip-10-0-26-70.ec2.internal    <none>           <none>
jaeger-6c9c7c97f8-zhqvr                        1/1     Running     0               24h     10.0.43.161   ip-10-0-43-187.ec2.internal   <none>           <none>
llm-58fc944959-pbs48                           1/1     Running     0               5h16m   10.0.23.64    ip-10-0-26-70.ec2.internal    <none>           <none>
load-generator-d8d4894df-cgmtb                 1/1     Running     0               18h     10.0.46.21    ip-10-0-47-201.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-629nj         1/1     Running     0               15h     10.0.23.192   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-89d5w         1/1     Running     1 (7h11m ago)   15h     10.0.23.137   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-fhrp8         1/1     Running     0               15h     10.0.23.133   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-fzsrm         1/1     Running     0               15h     10.0.23.136   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-jr5vn         1/1     Running     0               15h     10.0.23.134   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-lxnkq         1/1     Running     0               15h     10.0.23.193   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-mx82c         1/1     Running     0               15h     10.0.23.132   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-w4sfl         1/1     Running     0               15h     10.0.23.135   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-wg95w         1/1     Running     0               15h     10.0.23.131   ip-10-0-31-205.ec2.internal   <none>           <none>
load-generator-worker-56d6c66b79-wmpv2         1/1     Running     0               15h     10.0.23.130   ip-10-0-31-205.ec2.internal   <none>           <none>
metrics-server-55d7678dd8-48t5g                1/1     Running     2 (7h4m ago)    24h     10.0.23.229   ip-10-0-16-62.ec2.internal    <none>           <none>
opensearch-0                                   1/1     Running     0               7h46m   10.0.46.24    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-768sj                     1/1     Running     0               5h59m   10.0.19.230   ip-10-0-26-70.ec2.internal    <none>           <none>
otel-collector-agent-8znqf                     1/1     Running     0               7h29m   10.0.46.23    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-9fbw4                     1/1     Running     0               7h28m   10.0.27.133   ip-10-0-16-62.ec2.internal    <none>           <none>
otel-collector-agent-c5gcb                     1/1     Running     0               27m     10.0.28.113   ip-10-0-17-84.ec2.internal    <none>           <none>
otel-collector-agent-g4l9r                     1/1     Running     0               162m    10.0.39.35    ip-10-0-35-229.ec2.internal   <none>           <none>
otel-collector-agent-hs54q                     1/1     Running     0               7h29m   10.0.45.192   ip-10-0-43-187.ec2.internal   <none>           <none>
otel-collector-agent-m2b5r                     1/1     Running     0               7h27m   10.0.23.138   ip-10-0-31-205.ec2.internal   <none>           <none>
otel-collector-agent-pr7cs                     1/1     Running     0               7h27m   10.0.40.4     ip-10-0-44-254.ec2.internal   <none>           <none>
otel-collector-agent-q9ndr                     1/1     Running     0               26m     10.0.40.17    ip-10-0-39-216.ec2.internal   <none>           <none>
otel-collector-agent-shkcl                     1/1     Running     0               162m    10.0.17.35    ip-10-0-29-210.ec2.internal   <none>           <none>
payment-5c6f485cf6-6wq74                       1/1     Running     0               5h59m   10.0.19.227   ip-10-0-26-70.ec2.internal    <none>           <none>
payment-5c6f485cf6-zcn4v                       1/1     Running     0               154m    10.0.39.32    ip-10-0-35-229.ec2.internal   <none>           <none>
product-catalog-5d9b8d75c8-6w6bj               1/1     Running     0               15h     10.0.40.8     ip-10-0-44-254.ec2.internal   <none>           <none>
product-catalog-5d9b8d75c8-crzh5               1/1     Running     0               154m    10.0.19.236   ip-10-0-26-70.ec2.internal    <none>           <none>
product-reviews-9b9c94c7-hh6k5                 1/1     Running     0               163m    10.0.17.32    ip-10-0-29-210.ec2.internal   <none>           <none>
product-reviews-9b9c94c7-mpjdj                 1/1     Running     0               27m     10.0.28.115   ip-10-0-17-84.ec2.internal    <none>           <none>
product-reviews-9b9c94c7-s5cqj                 1/1     Running     0               15h     10.0.40.0     ip-10-0-44-254.ec2.internal   <none>           <none>
prometheus-5db66644d7-hn92b                    1/1     Running     9 (5h20m ago)   23h     10.0.19.240   ip-10-0-16-62.ec2.internal    <none>           <none>
