NAME                                             READY   STATUS      RESTARTS        AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-5599d7f599-gv5n6                      2/2     Running     0               9h      10.0.19.221   ip-10-0-25-228.ec2.internal   <none>           <none>
ad-7df9776d9-2qwhf                               2/2     Running     0               11m     10.0.19.210   ip-10-0-25-228.ec2.internal   <none>           <none>
ad-7df9776d9-cpr7g                               2/2     Running     0               11m     10.0.37.145   ip-10-0-37-8.ec2.internal     <none>           <none>
cart-7d94dbc667-4b6v6                            2/2     Running     0               3h      10.0.26.129   ip-10-0-25-228.ec2.internal   <none>           <none>
cart-7d94dbc667-l97v4                            2/2     Running     0               9h      10.0.37.158   ip-10-0-37-8.ec2.internal     <none>           <none>
checkout-dff9cd57b-jtjn5                         2/2     Running     0               3h21m   10.0.44.197   ip-10-0-44-146.ec2.internal   <none>           <none>
checkout-dff9cd57b-svf2q                         2/2     Running     0               3h2m    10.0.26.128   ip-10-0-25-228.ec2.internal   <none>           <none>
currency-fb78f676d-hdvmc                         2/2     Running     0               52m     10.0.37.153   ip-10-0-37-8.ec2.internal     <none>           <none>
currency-fb78f676d-rpf4l                         2/2     Running     0               52m     10.0.44.193   ip-10-0-44-146.ec2.internal   <none>           <none>
currency-fb78f676d-sb5gk                         2/2     Running     0               52m     10.0.19.212   ip-10-0-25-228.ec2.internal   <none>           <none>
egress-proxy-84c64bd6b4-5wp52                    2/2     Running     0               5h27m   10.0.46.20    ip-10-0-47-201.ec2.internal   <none>           <none>
egress-proxy-84c64bd6b4-jmw6c                    2/2     Running     0               5h27m   10.0.35.208   ip-10-0-43-187.ec2.internal   <none>           <none>
email-846dc874cb-jcrp2                           2/2     Running     0               9h      10.0.37.154   ip-10-0-37-8.ec2.internal     <none>           <none>
email-846dc874cb-ncv95                           2/2     Running     0               9h      10.0.19.209   ip-10-0-25-228.ec2.internal   <none>           <none>
flagd-7b6f78958f-nwvz5                           3/3     Running     0               9h      10.0.27.141   ip-10-0-16-62.ec2.internal    <none>           <none>
fraud-detection-6b68c68ffb-d7xbt                 2/2     Running     0               3h      10.0.44.195   ip-10-0-44-146.ec2.internal   <none>           <none>
frontend-c88f786f8-ngchx                         2/2     Running     0               3h6m    10.0.19.220   ip-10-0-25-228.ec2.internal   <none>           <none>
frontend-c88f786f8-pngzd                         2/2     Running     0               3h2m    10.0.46.49    ip-10-0-37-8.ec2.internal     <none>           <none>
frontend-c88f786f8-zt7nl                         2/2     Running     0               3h20m   10.0.44.199   ip-10-0-44-146.ec2.internal   <none>           <none>
frontend-proxy-5477b56464-2lqvc                  2/2     Running     0               51m     10.0.46.16    ip-10-0-47-201.ec2.internal   <none>           <none>
frontend-proxy-5477b56464-h2w7k                  2/2     Running     0               9h      10.0.35.223   ip-10-0-43-187.ec2.internal   <none>           <none>
grafana-b445c94d9-pxzdc                          2/2     Running     6 (5h28m ago)   5h36m   10.0.41.65    ip-10-0-47-201.ec2.internal   <none>           <none>
image-provider-ffb99b8bc-fsfs5                   2/2     Running     0               9h      10.0.19.219   ip-10-0-25-228.ec2.internal   <none>           <none>
image-provider-ffb99b8bc-lccgk                   2/2     Running     0               9h      10.0.46.54    ip-10-0-37-8.ec2.internal     <none>           <none>
jaeger-6d685bbcd6-q747p                          2/2     Running     4 (10h ago)     10h     10.0.46.17    ip-10-0-47-201.ec2.internal   <none>           <none>
llm-7659dbf7c6-dzffb                             2/2     Running     0               9h      10.0.26.131   ip-10-0-25-228.ec2.internal   <none>           <none>
load-generator-77d9f985b5-5j7wt                  2/2     Running     0               9h      10.0.19.240   ip-10-0-16-62.ec2.internal    <none>           <none>
load-generator-worker-fdbf69f6-22rlr             2/2     Running     0               5h9m    10.0.46.88    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-67npv             2/2     Running     0               5h9m    10.0.46.91    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-72jtl             2/2     Running     0               5h10m   10.0.46.85    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-866f5             2/2     Running     0               5h11m   10.0.46.84    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-fddxl             2/2     Running     0               5h11m   10.0.46.83    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-gt7wv             2/2     Running     0               5h10m   10.0.46.86    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-jmpp6             2/2     Running     1 (4h45m ago)   5h12m   10.0.46.82    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-q89ch             2/2     Running     0               5h10m   10.0.46.87    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-qpsj5             2/2     Running     0               5h9m    10.0.46.90    ip-10-0-32-103.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-rx9q7             2/2     Running     0               5h9m    10.0.46.89    ip-10-0-32-103.ec2.internal   <none>           <none>
metrics-server-777744c9b8-z7db9                  1/1     Running     2 (10h ago)     10h     10.0.46.18    ip-10-0-47-201.ec2.internal   <none>           <none>
opensearch-0                                     1/1     Running     0               30h     10.0.46.24    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-4dmv2                       2/2     Running     0               35m     10.0.37.147   ip-10-0-37-8.ec2.internal     <none>           <none>
otel-collector-agent-4lwmv                       2/2     Running     0               37m     10.0.19.211   ip-10-0-25-228.ec2.internal   <none>           <none>
otel-collector-agent-csjd9                       2/2     Running     0               36m     10.0.35.214   ip-10-0-43-187.ec2.internal   <none>           <none>
otel-collector-agent-ggb74                       2/2     Running     0               37m     10.0.27.135   ip-10-0-16-62.ec2.internal    <none>           <none>
otel-collector-agent-tcmqv                       2/2     Running     0               38m     10.0.46.28    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-tz4tl                       2/2     Running     0               35m     10.0.46.92    ip-10-0-32-103.ec2.internal   <none>           <none>
otel-collector-agent-xd6zj                       2/2     Running     0               34m     10.0.44.198   ip-10-0-44-146.ec2.internal   <none>           <none>
payment-6cbf6456-cz5gd                           2/2     Running     0               3h      10.0.19.216   ip-10-0-25-228.ec2.internal   <none>           <none>
payment-6cbf6456-mhzgn                           2/2     Running     0               9h      10.0.37.149   ip-10-0-37-8.ec2.internal     <none>           <none>
product-catalog-5944c56b56-bqz4m                 2/2     Running     0               3h      10.0.19.217   ip-10-0-25-228.ec2.internal   <none>           <none>
product-catalog-5944c56b56-kxjxn                 2/2     Running     0               9h      10.0.46.50    ip-10-0-37-8.ec2.internal     <none>           <none>
product-reviews-6d897bcdfc-2xjtk                 2/2     Running     0               9h      10.0.46.51    ip-10-0-37-8.ec2.internal     <none>           <none>
product-reviews-6d897bcdfc-slm8p                 2/2     Running     0               3h      10.0.44.196   ip-10-0-44-146.ec2.internal   <none>           <none>
prometheus-77dbbd46ff-zm2r6                      1/1     Running     0               10h     10.0.27.140   ip-10-0-16-62.ec2.internal    <none>           <none>
prometheus-adapter-65876f7d48-rbnrq              1/1     Running     0               10h     10.0.46.21    ip-10-0-47-201.ec2.internal   <none>           <none>
quote-696b6b9dfc-9pqhl                           2/2     Running     0               9h      10.0.37.151   ip-10-0-37-8.ec2.internal     <none>           <none>
quote-696b6b9dfc-knpf8                           2/2     Running     0               9h      10.0.19.214   ip-10-0-25-228.ec2.internal   <none>           <none>
recommendation-6bd768bcd7-kn497                  2/2     Running     0               8h      10.0.37.148   ip-10-0-37-8.ec2.internal     <none>           <none>
recommendation-6bd768bcd7-wk47z                  2/2     Running     0               9h      10.0.19.213   ip-10-0-25-228.ec2.internal   <none>           <none>
runtime-hardening-inventory-29748015-z4qvk       0/1     Completed   0               5m39s   10.0.35.220   ip-10-0-43-187.ec2.internal   <none>           <none>
runtime-hardening-inventory-29748020-b5nx8       0/1     Completed   0               39s     10.0.35.220   ip-10-0-43-187.ec2.internal   <none>           <none>
shipping-59c9487779-4dxlj                        2/2     Running     0               8h      10.0.37.150   ip-10-0-37-8.ec2.internal     <none>           <none>
shipping-59c9487779-k8zxj                        2/2     Running     0               9h      10.0.19.215   ip-10-0-25-228.ec2.internal   <none>           <none>
shopping-copilot-6b5fc5dcc7-hvqr2                2/2     Running     0               3h      10.0.37.155   ip-10-0-37-8.ec2.internal     <none>           <none>
techx-corp-kube-state-metrics-56d546bdc7-bmngs   1/1     Running     0               10h     10.0.46.27    ip-10-0-47-201.ec2.internal   <none>           <none>
