NAME                                             READY   STATUS      RESTARTS       AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
accounting-5599d7f599-h8stp                      2/2     Running     0              3h58m   10.0.37.144   ip-10-0-37-8.ec2.internal     <none>           <none>
ad-7df9776d9-cpr7g                               2/2     Running     0              4h9m    10.0.37.145   ip-10-0-37-8.ec2.internal     <none>           <none>
ad-7df9776d9-j247z                               2/2     Running     0              18m     10.0.29.244   ip-10-0-29-227.ec2.internal   <none>           <none>
cart-57b6bb695c-n46hm                            2/2     Running     0              3h15m   10.0.37.157   ip-10-0-37-8.ec2.internal     <none>           <none>
cart-57b6bb695c-zwlxl                            2/2     Running     0              17m     10.0.19.181   ip-10-0-29-227.ec2.internal   <none>           <none>
checkout-dff9cd57b-98s6z                         2/2     Running     0              18m     10.0.19.190   ip-10-0-29-227.ec2.internal   <none>           <none>
checkout-dff9cd57b-dpswm                         2/2     Running     0              3h58m   10.0.37.156   ip-10-0-37-8.ec2.internal     <none>           <none>
currency-fb78f676d-h6prm                         2/2     Running     0              18m     10.0.29.249   ip-10-0-29-227.ec2.internal   <none>           <none>
currency-fb78f676d-hdvmc                         2/2     Running     0              4h50m   10.0.37.153   ip-10-0-37-8.ec2.internal     <none>           <none>
egress-proxy-84c64bd6b4-5wp52                    2/2     Running     0              9h      10.0.46.20    ip-10-0-47-201.ec2.internal   <none>           <none>
egress-proxy-84c64bd6b4-jmw6c                    2/2     Running     0              9h      10.0.35.208   ip-10-0-43-187.ec2.internal   <none>           <none>
email-846dc874cb-584gl                           2/2     Running     0              18m     10.0.29.243   ip-10-0-29-227.ec2.internal   <none>           <none>
email-846dc874cb-jcrp2                           2/2     Running     0              13h     10.0.37.154   ip-10-0-37-8.ec2.internal     <none>           <none>
flagd-7b6f78958f-nwvz5                           3/3     Running     0              13h     10.0.27.141   ip-10-0-16-62.ec2.internal    <none>           <none>
fraud-detection-6b68c68ffb-6fw84                 2/2     Running     0              14m     10.0.36.34    ip-10-0-39-36.ec2.internal    <none>           <none>
frontend-c88f786f8-dkg5m                         2/2     Running     0              18m     10.0.29.247   ip-10-0-29-227.ec2.internal   <none>           <none>
frontend-c88f786f8-nwr8k                         2/2     Running     0              176m    10.0.36.37    ip-10-0-39-36.ec2.internal    <none>           <none>
frontend-c88f786f8-pngzd                         2/2     Running     0              7h      10.0.46.49    ip-10-0-37-8.ec2.internal     <none>           <none>
frontend-proxy-5477b56464-2lqvc                  2/2     Running     0              4h49m   10.0.46.16    ip-10-0-47-201.ec2.internal   <none>           <none>
frontend-proxy-5477b56464-h2w7k                  2/2     Running     0              13h     10.0.35.223   ip-10-0-43-187.ec2.internal   <none>           <none>
grafana-b445c94d9-pxzdc                          2/2     Running     6 (9h ago)     9h      10.0.41.65    ip-10-0-47-201.ec2.internal   <none>           <none>
image-provider-ffb99b8bc-lccgk                   2/2     Running     0              13h     10.0.46.54    ip-10-0-37-8.ec2.internal     <none>           <none>
image-provider-ffb99b8bc-t6w48                   2/2     Running     0              18m     10.0.29.245   ip-10-0-29-227.ec2.internal   <none>           <none>
jaeger-6d685bbcd6-q747p                          2/2     Running     5 (144m ago)   14h     10.0.46.17    ip-10-0-47-201.ec2.internal   <none>           <none>
llm-7659dbf7c6-mtsb6                             2/2     Running     0              23m     10.0.19.176   ip-10-0-29-227.ec2.internal   <none>           <none>
load-generator-77d9f985b5-5j7wt                  2/2     Running     0              13h     10.0.19.240   ip-10-0-16-62.ec2.internal    <none>           <none>
load-generator-worker-fdbf69f6-47jkt             2/2     Running     0              21m     10.0.43.209   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-6qqhv             2/2     Running     0              21m     10.0.40.193   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-dvzkt             2/2     Running     0              21m     10.0.43.208   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-fqbgq             2/2     Running     0              21m     10.0.40.199   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-h97j9             2/2     Running     0              21m     10.0.40.192   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-qchrf             2/2     Running     0              21m     10.0.40.201   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-qczwh             2/2     Running     0              21m     10.0.40.202   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-tz2hl             2/2     Running     0              21m     10.0.40.198   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-w2792             2/2     Running     0              22m     10.0.40.196   ip-10-0-46-179.ec2.internal   <none>           <none>
load-generator-worker-fdbf69f6-zw5vg             2/2     Running     0              21m     10.0.40.200   ip-10-0-46-179.ec2.internal   <none>           <none>
metrics-server-777744c9b8-z7db9                  1/1     Running     4 (141m ago)   14h     10.0.46.18    ip-10-0-47-201.ec2.internal   <none>           <none>
opensearch-0                                     1/1     Running     0              34h     10.0.46.24    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-4dmv2                       2/2     Running     0              4h33m   10.0.37.147   ip-10-0-37-8.ec2.internal     <none>           <none>
otel-collector-agent-csjd9                       2/2     Running     0              4h34m   10.0.35.214   ip-10-0-43-187.ec2.internal   <none>           <none>
otel-collector-agent-fjjms                       2/2     Running     0              22m     10.0.40.197   ip-10-0-46-179.ec2.internal   <none>           <none>
otel-collector-agent-ggb74                       2/2     Running     0              4h35m   10.0.27.135   ip-10-0-16-62.ec2.internal    <none>           <none>
otel-collector-agent-gt4pf                       2/2     Running     0              120m    10.0.19.180   ip-10-0-29-227.ec2.internal   <none>           <none>
otel-collector-agent-gtxt4                       2/2     Running     0              176m    10.0.36.38    ip-10-0-39-36.ec2.internal    <none>           <none>
otel-collector-agent-tcmqv                       2/2     Running     0              4h37m   10.0.46.28    ip-10-0-47-201.ec2.internal   <none>           <none>
payment-6cbf6456-mhzgn                           2/2     Running     0              13h     10.0.37.149   ip-10-0-37-8.ec2.internal     <none>           <none>
payment-6cbf6456-pr5qr                           2/2     Running     0              18m     10.0.19.189   ip-10-0-29-227.ec2.internal   <none>           <none>
product-catalog-5944c56b56-bssb7                 2/2     Running     0              18m     10.0.29.248   ip-10-0-29-227.ec2.internal   <none>           <none>
product-catalog-5944c56b56-kxjxn                 2/2     Running     0              13h     10.0.46.50    ip-10-0-37-8.ec2.internal     <none>           <none>
product-reviews-6d897bcdfc-2xjtk                 2/2     Running     0              13h     10.0.46.51    ip-10-0-37-8.ec2.internal     <none>           <none>
product-reviews-6d897bcdfc-lf68b                 2/2     Running     0              153m    10.0.36.64    ip-10-0-39-36.ec2.internal    <none>           <none>
prometheus-77dbbd46ff-zm2r6                      1/1     Running     0              14h     10.0.27.140   ip-10-0-16-62.ec2.internal    <none>           <none>
prometheus-adapter-65876f7d48-rbnrq              1/1     Running     0              14h     10.0.46.21    ip-10-0-47-201.ec2.internal   <none>           <none>
quote-696b6b9dfc-9pqhl                           2/2     Running     0              13h     10.0.37.151   ip-10-0-37-8.ec2.internal     <none>           <none>
quote-696b6b9dfc-nhq47                           2/2     Running     0              18m     10.0.29.246   ip-10-0-29-227.ec2.internal   <none>           <none>
recommendation-6bd768bcd7-c7jns                  2/2     Running     0              14m     10.0.19.182   ip-10-0-29-227.ec2.internal   <none>           <none>
recommendation-6bd768bcd7-jcwwm                  2/2     Running     0              159m    10.0.36.33    ip-10-0-39-36.ec2.internal    <none>           <none>
recommendation-6bd768bcd7-kn497                  2/2     Running     0              12h     10.0.37.148   ip-10-0-37-8.ec2.internal     <none>           <none>
runtime-hardening-inventory-29748250-xxz6k       0/1     Completed   0              9m11s   10.0.35.221   ip-10-0-43-187.ec2.internal   <none>           <none>
runtime-hardening-inventory-29748255-vk2k7       0/1     Completed   0              4m11s   10.0.35.221   ip-10-0-43-187.ec2.internal   <none>           <none>
shipping-59c9487779-4dxlj                        2/2     Running     0              12h     10.0.37.150   ip-10-0-37-8.ec2.internal     <none>           <none>
shipping-59c9487779-hqrc9                        2/2     Running     0              18m     10.0.19.178   ip-10-0-29-227.ec2.internal   <none>           <none>
